Two Point Hosipital|7904SEGAEuropeLtd.TwoPointHospital-GamePass_zs7esxpzd8d5c|%HOMEDRIVE%%HOMEPATH%\AppData\LocalLow\Two Point Studios\Two Point Hospital\Cloud\<profile>\
Ori and the Blind Forest: Definitive Edition|Microsoft.OriandtheBlindForestDefinitiveEdition_8wekyb3d8bbwe|%LOCALAPPDATA%\Ori and the Blind Forest DE\
Forza Horizon 5|Microsoft.624F8B84B80_8wekyb3d8bbwe|<Steam-folder>\userdata\<profile>\1551360\remote\<profile>\
